   Step   Time    Walltime(s) Profile
 714280  49.9996   180.8084   ▇▇▇▇▇▇▇▇▇▇███████████████████████████▇▇▇▇▇▇▇▇▇▇▇
 749994  52.4996   189.8451   ▇▇▇▇▇▇▇▇███████████████████████████████▇▇▇▇▇▇▇▇▇
 785708  54.9996   198.8828   ▇▇▇▇▇▇███████████████████████████████████▇▇▇▇▇▇▇
 821422  57.4995   207.9177   ▇▇▇█████████████████████████████████████████▇▇▇▇
 857136  59.9995   216.9489   ████████████████████████████████████████████████
 892850  62.4995   225.9849   ████████████████████████████████████████████████
 928564  64.9995   235.0162   ████████████████████████████████████████████████
 964278  67.4995   244.0480   ████████████████████████████████████████████████
 999992  69.9994   253.0868   ████████████████████████████████████████████████
1035706  72.4994   262.1187   ████████████████████████████████████████████████
1071420  74.9994   271.1500   ████████████████████████████████████████████████
1107134  77.4994   280.1811   ████████████████████████████████████████████████
1142848  79.9994   289.2128   ████████████████████████████████████████████████
1178562  82.4993   298.2407   ████████████████████████████████████████████████
1214276  84.9993   307.2676   ████████████████████████████████████████████████
1249990  87.4993   316.2993   ████████████████████████████████████████████████
1285704  89.9993   325.3354   ████████████████████████████████████████████████
1321418  92.4993   334.3758   ████████████████████████████████████████████████
1357132  94.9992   343.4349   ████████████████████████████████████████████████
1392846  97.4992   352.4797   ████████████████████████████████████████████████
1428560  99.9992   361.5290   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0008   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  35714   2.5000     6.9815   ▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▃▃▄▅▆▇█████▇▆▅▄▃▃▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  71428   5.0000    13.9500   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▆▆▇▇█████▇▇▆▆▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁▁
 107142   7.4999    20.8965   ▁▁▁▁▁▁▂▂▂▂▃▃▄▄▅▅▆▆▇▇███████▇▇▆▆▅▅▄▄▃▃▂▂▂▂▁▁▁▁▁▁▁
 142856   9.9999    27.8393   ▁▁▂▂▂▂▂▂▃▃▄▄▄▅▅▆▆▇▇▇███████▇▇▇▆▆▅▅▄▄▄▃▃▂▂▂▂▂▂▁▁▁
 178570  12.4999    34.7954   ▂▂▂▂▂▂▃▃▃▄▄▅▅▅▆▆▇▇▇█████████▇▇▇▆▆▅▅▅▄▄▃▃▃▃▂▂▂▂▂▂
 214284  14.9999    41.7583   ▂▂▂▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇█████████▇▇▇▇▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂▂
 249998  17.4999    48.7214   ▃▃▃▃▃▄▄▄▄▅▅▅▆▆▆▇▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▄▃▃▃▃▃▃
 285712  19.9998    55.6858   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▇▇▇▇███████████▇▇▇▇▆▆▆▅▅▅▄▄▄▄▄▃▃▃▃
 321426  22.4998    62.6386   ▄▄▄▄▄▄▅▅▅▅▆▆▆▆▇▇▇▇███████████▇▇▇▇▇▆▆▆▅▅▅▅▄▄▄▄▄▄▄
 357140  24.9998    69.6037   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇█████████████▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄▄
 392854  27.4998    76.5593   ▅▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇█████████████▇▇▇▇▇▆▆▆▆▆▅▅▅▅▅▅▅▅
 428568  29.9998    83.5307   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇█████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅▅
